Frequency (Hz),Level (dB)
43.066406,-41.139572
86.132812,-37.345348
129.199219,-34.423779
172.265625,-30.474499
215.332031,-23.429787
258.398438,-21.258078
301.464844,-30.4216
344.53125,-46.85881
387.597656,-49.322948
430.664062,-40.732067
473.730469,-27.596964
516.796875,-27.318779
559.863281,-40.289108
602.929688,-54.953381
645.996094,-56.908401
689.0625,-38.214127
732.128906,-28.406755
775.195312,-30.959064
818.261719,-48.737576
861.328125,-54.183434
904.394531,-55.041866
947.460938,-39.227283
990.527344,-32.719704
1033.59375,-38.127048
1076.660156,-58.19001
1119.726562,-59.645653
1162.792969,-55.316628
1205.859375,-35.94339
1248.925781,-32.34594
1291.992188,-40.779846
1335.058594,-58.67981
1378.125,-58.77195
1421.191406,-56.447136
1464.257812,-42.074913
1507.324219,-41.065453
1550.390625,-53.01585
1593.457031,-61.117573
1636.523438,-62.027813
1679.589844,-50.423744
1722.65625,-39.888439
1765.722656,-41.882488
1808.789062,-58.346066
1851.855469,-63.446526
1894.921875,-63.564934
1937.988281,-52.726513
1981.054688,-46.218216
2024.121094,-50.88448
2067.1875,-63.952656
2110.253906,-64.779282
2153.320312,-63.918541
2196.386719,-44.771667
2239.453125,-40.277802
2282.519531,-47.605576
2325.585938,-64.364952
2368.652344,-63.533836
2411.71875,-61.472946
2454.785156,-46.480164
2497.851562,-44.289539
2540.917969,-54.297928
2583.984375,-64.423645
2627.050781,-65.076424
2670.117188,-63.005085
2713.183594,-53.066158
2756.25,-52.717163
2799.316406,-62.173355
2842.382812,-65.726433
2885.449219,-65.528114
2928.515625,-63.425602
2971.582031,-55.870941
3014.648438,-58.17646
3057.714844,-65.978165
3100.78125,-66.533539
3143.847656,-67.060997
3186.914062,-56.076214
3229.980469,-49.653622
3273.046875,-54.36121
3316.113281,-66.001396
3359.179688,-67.03392
3402.246094,-66.893051
3445.3125,-56.304268
3488.378906,-50.634895
3531.445312,-55.964481
3574.511719,-66.890907
3617.578125,-68.084129
3660.644531,-65.643692
3703.710938,-55.136318
3746.777344,-53.125572
3789.84375,-61.37632
3832.910156,-68.898964
3875.976562,-68.544113
3919.042969,-68.302589
3962.109375,-65.535675
4005.175781,-65.309128
4048.242188,-67.741402
4091.308594,-68.186165
4134.375,-67.312965
4177.441406,-64.784966
4220.507812,-54.081413
4263.574219,-53.954262
4306.640625,-64.345108
4349.707031,-66.527443
4392.773438,-67.559837
4435.839844,-65.314758
4478.90625,-58.671402
4521.972656,-60.144344
4565.039062,-68.938957
4608.105469,-69.210358
4651.171875,-69.620087
4694.238281,-70.103775
4737.304688,-67.882591
4780.371094,-69.001068
4823.4375,-70.593246
4866.503906,-70.803665
4909.570312,-71.073158
4952.636719,-68.644173
4995.703125,-64.750839
5038.769531,-67.743828
5081.835938,-70.976479
5124.902344,-70.617905
5167.96875,-70.542107
5211.035156,-62.624561
5254.101562,-56.260223
5297.167969,-60.954777
5340.234375,-70.135162
5383.300781,-70.288956
5426.367188,-72.052826
5469.433594,-68.573059
5512.5,-64.1371
5555.566406,-68.003082
5598.632812,-72.251595
5641.699219,-73.161308
5684.765625,-73.387428
5727.832031,-69.791054
5770.898438,-66.776848
5813.964844,-70.644386
5857.03125,-72.795326
5900.097656,-72.78215
5943.164062,-72.57563
5986.230469,-66.417465
6029.296875,-62.053482
6072.363281,-67.428238
6115.429688,-72.034271
6158.496094,-70.867722
6201.5625,-70.781677
6244.628906,-60.274967
6287.695312,-55.836742
6330.761719,-62.344635
6373.828125,-72.728165
6416.894531,-71.805855
6459.960938,-71.946205
6503.027344,-66.037865
6546.09375,-63.459217
6589.160156,-69.527733
6632.226562,-72.469757
6675.292969,-72.922806
6718.359375,-72.657883
6761.425781,-70.502983
6804.492188,-68.243622
6847.558594,-72.46283
6890.625,-73.634682
6933.691406,-71.791901
6976.757812,-71.093971
7019.824219,-66.283203
7062.890625,-62.764977
7105.957031,-67.860771
7149.023438,-73.606117
7192.089844,-72.533592
7235.15625,-69.070175
7278.222656,-57.99955
7321.289062,-51.219776
7364.355469,-54.79525
7407.421875,-71.889824
7450.488281,-74.169815
7493.554688,-74.881676
7536.621094,-63.679375
7579.6875,-56.452179
7622.753906,-60.576756
7665.820312,-75.261154
7708.886719,-75.077835
7751.953125,-75.192711
7795.019531,-74.609291
7838.085938,-73.638222
7881.152344,-74.85154
7924.21875,-76.130676
7967.285156,-75.240326
8010.351562,-75.296806
8053.417969,-73.997566
8096.484375,-69.310951
8139.550781,-71.045036
8182.617188,-75.613297
8225.683594,-75.82029
8268.75,-76.313545
8311.816406,-70.772408
8354.882812,-60.772266
8397.949219,-61.881245
8441.015625,-72.571411
8484.082031,-75.255165
8527.148438,-76.089287
8570.214844,-75.077637
8613.28125,-68.186119
8656.347656,-67.179153
8699.414062,-74.431442
8742.480469,-77.288307
8785.546875,-75.063889
8828.613281,-75.371773
8871.679688,-73.782646
8914.746094,-70.391701
8957.8125,-74.416115
9000.878906,-77.63192
9043.945312,-77.326637
9087.011719,-76.364563
9130.078125,-70.150291
9173.144531,-64.548187
9216.210938,-69.14785
9259.277344,-76.296936
9302.34375,-76.64341
9345.410156,-76.468079
9388.476562,-70.965851
9431.542969,-62.935394
9474.609375,-65.125069
9517.675781,-74.036827
9560.742188,-75.249924
9603.808594,-76.197823
9646.875,-73.736664
9689.941406,-61.171989
9733.007812,-60.052708
9776.074219,-70.435776
9819.140625,-75.403809
9862.207031,-75.669258
9905.273438,-76.191597
9948.339844,-72.785362
9991.40625,-70.941658
10034.47266,-74.146202
10077.53906,-76.153198
10120.60547,-75.824768
10163.67188,-76.766586
10206.73828,-69.491142
10249.80469,-61.409954
10292.87109,-64.449486
10335.9375,-75.989502
10379.00391,-77.096199
10422.07031,-74.7743
10465.13672,-65.065239
10508.20313,-51.298775
10551.26953,-50.891602
10594.33594,-63.439102
10637.40234,-74.699646
10680.46875,-76.864601
10723.53516,-75.394539
10766.60156,-59.515743
10809.66797,-55.179874
10852.73438,-62.744297
10895.80078,-63.839333
10938.86719,-71.373047
10981.93359,-71.148491
11025,-66.851692
11068.06641,-66.697517
11111.13281,-69.138954
11154.19922,-74.546593
11197.26563,-75.998802
11240.33203,-75.011055
11283.39844,-73.461014
11326.46484,-60.535152
11369.53125,-58.258129
11412.59766,-67.501877
11455.66406,-76.01458
11498.73047,-77.274384
11541.79688,-75.778229
11584.86328,-61.320461
11627.92969,-52.911858
11670.99609,-55.876194
11714.0625,-72.817169
11757.12891,-76.290474
11800.19531,-76.348618
11843.26172,-74.817009
11886.32813,-60.06741
11929.39453,-56.308022
11972.46094,-63.869831
12015.52734,-77.082726
12058.59375,-76.695107
12101.66016,-75.915749
12144.72656,-71.459488
12187.79297,-64.963699
12230.85938,-67.548012
12273.92578,-75.160995
12316.99219,-76.944237
12360.05859,-77.198639
12403.125,-74.259918
12446.19141,-58.954948
12489.25781,-54.533577
12532.32422,-61.533504
12575.39063,-76.260864
12618.45703,-76.341072
12661.52344,-76.342941
12704.58984,-69.110039
12747.65625,-57.101562
12790.72266,-57.05986
12833.78906,-69.251907
12876.85547,-74.917374
12919.92188,-75.800377
12962.98828,-76.656021
13006.05469,-72.259552
13049.12109,-65.58271
13092.1875,-68.486351
13135.25391,-73.693817
13178.32031,-75.256668
13221.38672,-75.625458
13264.45313,-73.932228
13307.51953,-68.539581
13350.58594,-66.466415
13393.65234,-74.207428
13436.71875,-76.269211
13479.78516,-76.514618
13522.85156,-75.435463
13565.91797,-68.805466
13608.98438,-57.283813
13652.05078,-57.088852
13695.11719,-71.854683
13738.18359,-71.991547
13781.25,-76.49807
13824.31641,-74.672989
13867.38281,-65.768845
13910.44922,-58.272594
13953.51563,-61.008915
13996.58203,-70.18911
14039.64844,-74.642654
14082.71484,-72.292274
14125.78125,-66.866074
14168.84766,-60.673763
14211.91406,-55.548271
14254.98047,-61.317207
14298.04688,-69.102386
14341.11328,-69.599716
14384.17969,-71.153748
14427.24609,-70.636452
14470.3125,-62.019825
14513.37891,-55.549801
14556.44531,-58.036083
14599.51172,-67.603157
14642.57813,-68.429146
14685.64453,-68.699585
14728.71094,-67.233521
14771.77734,-53.28746
14814.84375,-51.438915
14857.91016,-60.9384
14900.97656,-73.462318
14944.04297,-72.353203
14987.10938,-72.174759
15030.17578,-71.516235
15073.24219,-61.399918
15116.30859,-57.816124
15159.375,-64.003113
15202.44141,-70.535965
15245.50781,-71.199348
15288.57422,-71.529175
15331.64063,-65.775253
15374.70703,-54.720772
15417.77344,-55.339207
15460.83984,-66.737572
15503.90625,-67.111824
15546.97266,-68.827827
15590.03906,-68.58065
15633.10547,-57.687622
15676.17188,-47.474575
15719.23828,-49.241814
15762.30469,-64.548004
15805.37109,-68.440193
15848.4375,-69.683952
15891.50391,-67.520546
15934.57031,-54.745132
15977.63672,-44.265579
16020.70313,-45.707996
16063.76953,-60.606205
16106.83594,-69.626839
16149.90234,-69.544586
16192.96875,-68.525536
16236.03516,-54.695065
16279.10156,-43.570824
16322.16797,-44.751846
16365.23438,-59.403778
16408.30078,-69.374184
16451.36719,-69.792816
16494.43359,-68.436897
16537.5,-63.953308
16580.56641,-54.504868
16623.63281,-53.96682
16666.69922,-63.783981
16709.76563,-69.639679
16752.83203,-68.784348
16795.89844,-67.646568
16838.96484,-68.35067
16882.03125,-54.78894
16925.09766,-53.734726
16968.16406,-64.792503
17011.23047,-71.322906
17054.29688,-72.392944
17097.36328,-72.815735
17140.42969,-69.872292
17183.49609,-56.697266
17226.5625,-54.280239
17269.62891,-62.727047
17312.69531,-72.24382
17355.76172,-72.536201
17398.82813,-71.700554
17441.89453,-71.368149
17484.96094,-53.27243
17528.02734,-48.798126
17571.09375,-56.1007
17614.16016,-73.254448
17657.22656,-75.013054
17700.29297,-74.135895
17743.35938,-72.955246
17786.42578,-63.873108
17829.49219,-58.080765
17872.55859,-61.938526
17915.625,-72.977394
17958.69141,-70.925972
18001.75781,-70.101364
18044.82422,-71.548592
18087.89063,-71.195618
18130.95703,-64.942024
18174.02344,-66.438545
18217.08984,-71.858498
18260.15625,-74.046387
18303.22266,-74.436447
18346.28906,-73.342682
18389.35547,-71.245972
18432.42188,-58.456852
18475.48828,-54.885426
18518.55469,-62.760033
18561.62109,-74.427811
18604.6875,-75.323586
18647.75391,-75.19532
18690.82031,-74.606514
18733.88672,-63.413002
18776.95313,-56.759556
18820.01953,-61.655594
