Frequency (Hz),Level (dB)
43.066406,-42.550674
86.132812,-39.973782
129.199219,-39.376904
172.265625,-33.932827
215.332031,-25.388077
258.398438,-22.900364
301.464844,-31.744465
344.53125,-37.578522
387.597656,-39.899895
430.664062,-37.779484
473.730469,-26.697578
516.796875,-26.452303
559.863281,-37.404026
602.929688,-41.965672
645.996094,-43.615902
689.0625,-38.874851
732.128906,-29.903591
775.195312,-32.595558
818.261719,-48.189106
861.328125,-51.103226
904.394531,-46.681782
947.460938,-36.948406
990.527344,-31.002918
1033.59375,-36.112701
1076.660156,-47.305695
1119.726562,-46.533638
1162.792969,-48.586876
1205.859375,-34.787991
1248.925781,-31.364128
1291.992188,-39.297119
1335.058594,-46.201916
1378.125,-45.830273
1421.191406,-45.283642
1464.257812,-43.226448
1507.324219,-42.564922
1550.390625,-43.235806
1593.457031,-42.674873
1636.523438,-43.530376
1679.589844,-43.986935
1722.65625,-43.011902
1765.722656,-43.791874
1808.789062,-44.207138
1851.855469,-46.100052
1894.921875,-47.738567
1937.988281,-47.221367
1981.054688,-43.235054
2024.121094,-46.549099
2067.1875,-49.594608
2110.253906,-47.860088
2153.320312,-47.901245
2196.386719,-44.306953
2239.453125,-41.053349
2282.519531,-45.039574
2325.585938,-47.623291
2368.652344,-46.882454
2411.71875,-49.738255
2454.785156,-48.328232
2497.851562,-46.787727
2540.917969,-47.879433
2583.984375,-47.506138
2627.050781,-47.413326
2670.117188,-48.507732
2713.183594,-46.236286
2756.25,-46.141552
2799.316406,-46.471626
2842.382812,-46.885387
2885.449219,-47.909241
2928.515625,-48.643581
2971.582031,-47.086926
3014.648438,-49.125538
3057.714844,-51.502808
3100.78125,-50.056278
3143.847656,-49.010029
3186.914062,-49.436619
3229.980469,-48.863407
3273.046875,-49.352142
3316.113281,-51.286659
3359.179688,-51.176483
3402.246094,-51.206638
3445.3125,-49.989586
3488.378906,-50.637379
3531.445312,-49.828415
3574.511719,-51.279678
3617.578125,-51.843876
3660.644531,-52.474686
3703.710938,-52.522251
3746.777344,-51.148239
3789.84375,-53.26511
3832.910156,-53.960361
3875.976562,-53.159878
3919.042969,-54.145771
3962.109375,-53.729088
4005.175781,-54.121399
4048.242188,-55.042957
4091.308594,-54.759281
4134.375,-54.96291
4177.441406,-54.46875
4220.507812,-53.749512
4263.574219,-54.054356
4306.640625,-52.706738
4349.707031,-53.83926
4392.773438,-53.468472
4435.839844,-53.882431
4478.90625,-56.155804
4521.972656,-56.672379
4565.039062,-56.707573
4608.105469,-57.371521
4651.171875,-57.094276
4694.238281,-58.144917
4737.304688,-56.137192
4780.371094,-57.127605
4823.4375,-59.230618
4866.503906,-57.464092
4909.570312,-58.175652
4952.636719,-55.522121
4995.703125,-53.328426
5038.769531,-55.440201
5081.835938,-56.900181
5124.902344,-57.710976
5167.96875,-58.074062
5211.035156,-58.177582
5254.101562,-55.673325
5297.167969,-55.917252
5340.234375,-57.996643
5383.300781,-57.428555
5426.367188,-59.170025
5469.433594,-58.118176
5512.5,-57.253181
5555.566406,-60.208397
5598.632812,-59.341297
5641.699219,-60.428253
5684.765625,-60.42252
5727.832031,-59.786213
5770.898438,-56.730022
5813.964844,-57.253864
5857.03125,-57.41637
5900.097656,-57.054474
5943.164062,-56.228405
5986.230469,-56.700314
6029.296875,-56.201878
6072.363281,-58.97213
6115.429688,-59.81094
6158.496094,-61.837318
6201.5625,-61.019287
6244.628906,-60.439632
6287.695312,-59.677139
6330.761719,-59.734482
6373.828125,-62.217293
6416.894531,-62.921097
6459.960938,-64.171501
6503.027344,-62.789589
6546.09375,-61.144363
6589.160156,-63.334488
6632.226562,-61.463112
6675.292969,-62.125198
6718.359375,-63.452873
6761.425781,-63.521255
6804.492188,-60.750301
6847.558594,-62.178215
6890.625,-59.486885
6933.691406,-62.175823
6976.757812,-63.19487
7019.824219,-62.213135
7062.890625,-63.244663
7105.957031,-66.079796
7149.023438,-66.084045
7192.089844,-66.019508
7235.15625,-64.310135
7278.222656,-62.243755
7321.289062,-63.296551
7364.355469,-63.400883
7407.421875,-63.281509
7450.488281,-61.467228
7493.554688,-62.333961
7536.621094,-62.926296
7579.6875,-57.88393
7622.753906,-61.829563
7665.820312,-67.494682
7708.886719,-66.988579
7751.953125,-66.414185
7795.019531,-65.806931
7838.085938,-62.846069
7881.152344,-64.003952
7924.21875,-61.840702
7967.285156,-62.540882
8010.351562,-65.062973
8053.417969,-65.292343
8096.484375,-64.858444
8139.550781,-65.240082
8182.617188,-67.65625
8225.683594,-69.359261
8268.75,-67.174561
8311.816406,-68.329697
8354.882812,-66.459389
8397.949219,-67.245766
8441.015625,-68.001503
8484.082031,-68.643867
8527.148438,-68.693771
8570.214844,-65.853363
8613.28125,-53.508602
8656.347656,-52.41486
8699.414062,-63.60778
8742.480469,-70.563278
8785.546875,-71.42569
8828.613281,-71.76091
8871.679688,-64.093513
8914.746094,-60.749832
8957.8125,-67.633827
9000.878906,-74.544449
9043.945312,-72.372025
9087.011719,-72.403938
9130.078125,-71.63652
9173.144531,-70.610825
9216.210938,-72.555237
9259.277344,-73.783463
9302.34375,-72.731758
9345.410156,-72.482277
9388.476562,-69.911888
9431.542969,-63.029995
9474.609375,-65.058868
9517.675781,-71.112831
9560.742188,-71.525536
9603.808594,-72.006927
9646.875,-70.698128
9689.941406,-64.120094
9733.007812,-64.103546
9776.074219,-71.256073
9819.140625,-74.132896
9862.207031,-74.772102
9905.273438,-71.067772
9948.339844,-54.75296
9991.40625,-50.8008
10034.47266,-58.103924
10077.53906,-70.195267
10120.60547,-70.176582
10163.67188,-71.856689
10206.73828,-67.963478
10249.80469,-62.052769
10292.87109,-66.210197
10335.9375,-74.369949
10379.00391,-75.816154
10422.07031,-75.681229
10465.13672,-65.706367
10508.20313,-53.495461
10551.26953,-53.565792
10594.33594,-66.351883
10637.40234,-72.932152
10680.46875,-73.246422
10723.53516,-72.460075
10766.60156,-59.667538
10809.66797,-55.162571
10852.73438,-61.278908
10895.80078,-69.859268
10938.86719,-71.320763
10981.93359,-71.030609
11025,-69.297241
11068.06641,-68.688217
11111.13281,-70.831001
11154.19922,-74.683121
11197.26563,-76.137527
11240.33203,-75.356758
11283.39844,-74.345276
11326.46484,-65.515076
11369.53125,-62.813622
11412.59766,-70.335701
11455.66406,-76.86618
11498.73047,-76.390999
11541.79688,-74.560654
11584.86328,-57.901287
11627.92969,-49.679379
11670.99609,-52.997169
11714.0625,-70.916901
11757.12891,-75.433708
11800.19531,-75.248848
11843.26172,-68.259483
11886.32813,-50.57938
11929.39453,-47.912033
11972.46094,-57.355625
12015.52734,-73.681297
12058.59375,-74.439507
12101.66016,-74.366753
12144.72656,-73.541924
12187.79297,-71.278389
12230.85938,-72.777916
12273.92578,-75.307152
12316.99219,-76.340149
12360.05859,-75.601028
12403.125,-72.475281
12446.19141,-57.588223
12489.25781,-53.971676
12532.32422,-61.685383
12575.39063,-75.377411
12618.45703,-73.607803
12661.52344,-73.65139
12704.58984,-66.492798
12747.65625,-55.004463
12790.72266,-55.626682
12833.78906,-69.910942
12876.85547,-74.212234
12919.92188,-75.190773
12962.98828,-74.89843
13006.05469,-68.977951
13049.12109,-63.376945
13092.1875,-67.973755
13135.25391,-74.827049
13178.32031,-74.988533
13221.38672,-74.515816
13264.45313,-76.028954
13307.51953,-69.39183
13350.58594,-67.626915
13393.65234,-73.330864
13436.71875,-75.3358
13479.78516,-75.416252
13522.85156,-75.326744
13565.91797,-66.002922
13608.98438,-54.448021
13652.05078,-55.2668
13695.11719,-69.038948
13738.18359,-74.155861
13781.25,-74.561241
13824.31641,-73.91214
13867.38281,-58.436958
13910.44922,-52.17865
13953.51563,-57.377205
13996.58203,-73.504318
14039.64844,-73.706688
14082.71484,-73.307533
14125.78125,-71.410789
14168.84766,-62.331928
14211.91406,-58.589516
14254.98047,-65.761909
14298.04688,-72.275177
14341.11328,-72.55928
14384.17969,-72.38224
14427.24609,-71.99855
14470.3125,-63.810848
14513.37891,-61.565842
14556.44531,-69.504303
14599.51172,-67.953506
14642.57813,-66.536896
14685.64453,-68.837196
14728.71094,-68.175606
14771.77734,-58.289539
14814.84375,-58.264309
14857.91016,-69.240952
14900.97656,-71.238365
14944.04297,-72.372803
14987.10938,-72.250946
15030.17578,-64.023422
15073.24219,-50.540241
15116.30859,-50.044353
15159.375,-62.818398
15202.44141,-70.65213
15245.50781,-71.859787
15288.57422,-71.007271
15331.64063,-64.705673
15374.70703,-54.788658
15417.77344,-55.91087
15460.83984,-68.74881
15503.90625,-69.696655
15546.97266,-71.650696
15590.03906,-68.902687
15633.10547,-65.062752
15676.17188,-59.613964
15719.23828,-61.750408
15762.30469,-68.755127
15805.37109,-71.311569
15848.4375,-71.121643
15891.50391,-69.854843
15934.57031,-66.919167
15977.63672,-59.899807
16020.70313,-61.928822
16063.76953,-70.058472
16106.83594,-70.919823
16149.90234,-71.529121
16192.96875,-70.316582
16236.03516,-68.070976
16279.10156,-58.349155
16322.16797,-59.562645
16365.23438,-68.143082
16408.30078,-68.078018
16451.36719,-69.880913
16494.43359,-67.760048
16537.5,-64.5653
16580.56641,-57.159264
16623.63281,-59.408989
16666.69922,-67.483902
16709.76563,-70.356674
16752.83203,-71.174896
16795.89844,-71.455688
16838.96484,-68.2658
16882.03125,-59.974854
16925.09766,-61.049114
16968.16406,-71.843704
17011.23047,-71.118713
17054.29688,-71.856827
17097.36328,-72.177246
17140.42969,-71.328751
17183.49609,-64.57933
17226.5625,-63.798237
17269.62891,-71.486771
17312.69531,-72.624649
17355.76172,-73.083488
17398.82813,-71.964661
17441.89453,-72.81884
17484.96094,-72.457443
17528.02734,-70.754921
17571.09375,-71.007874
17614.16016,-72.309654
17657.22656,-72.154121
17700.29297,-72.671783
17743.35938,-73.751549
17786.42578,-60.556583
17829.49219,-55.871727
17872.55859,-61.502155
17915.625,-70.865425
17958.69141,-74.190277
18001.75781,-75.742203
18044.82422,-73.552643
18087.89063,-61.575958
18130.95703,-50.600277
18174.02344,-52.035698
18217.08984,-67.14402
18260.15625,-72.713425
18303.22266,-73.410271
18346.28906,-73.605911
18389.35547,-72.898582
18432.42188,-67.786751
18475.48828,-66.253662
18518.55469,-72.3013
18561.62109,-75.604813
18604.6875,-72.399895
18647.75391,-70.455429
18690.82031,-74.282036
18733.88672,-70.254051
18776.95313,-66.796516
18820.01953,-70.824974
18863.08594,-73.443871
18906.15234,-75.724327
18949.21875,-75.765594
18992.28516,-76.45845
19035.35156,-70.527756
19078.41797,-60.364639
19121.48438,-60.544456
19164.55078,-70.245796
19207.61719,-74.786499
19250.68359,-74.93457
19293.75,-75.39814
19336.81641,-75.418167
19379.88281,-67.077614
19422.94922,-62.841404
19466.01563,-69.452484
19509.08203,-75.926308
19552.14844,-74.937927
19595.21484,-73.558762
19638.28125,-75.097275
19681.34766,-74.352631
19724.41406,-67.983513
19767.48047,-69.236076
19810.54688,-75.73037
19853.61328,-75.982834
19896.67969,-75.3498
19939.74609,-75.208397
19982.8125,-74.037537
20025.87891,-65.114136
20068.94531,-62.748352
20112.01172,-70.578339
20155.07813,-76.813583
