Frequency (Hz)	Level (dB)
43.066406	-31.038874
86.132812	-16.755772
129.199219	-16.304821
172.265625	-25.887651
215.332031	-21.773952
258.398438	-26.653658
301.464844	-31.170761
344.531250	-30.193478
387.597656	-35.306545
430.664062	-30.366726
473.730469	-34.081749
516.796875	-35.320744
559.863281	-33.346436
602.929688	-39.476772
645.996094	-39.929790
689.062500	-42.479290
732.128906	-45.240898
775.195312	-43.541813
818.261719	-47.608654
861.328125	-48.104961
904.394531	-45.959003
947.460938	-45.035606
990.527344	-43.451103
1033.593750	-45.533043
1076.660156	-44.591171
1119.726562	-44.272705
1162.792969	-47.615166
1205.859375	-46.995171
1248.925781	-45.771954
1291.992188	-42.804935
1335.058594	-42.022755
1378.125000	-45.116005
1421.191406	-44.382622
1464.257812	-45.035774
1507.324219	-44.834377
1550.390625	-43.715946
1593.457031	-42.944729
1636.523438	-43.958389
1679.589844	-43.967827
1722.656250	-44.316071
1765.722656	-44.132767
1808.789062	-44.770561
1851.855469	-46.425404
1894.921875	-46.455578
1937.988281	-46.862965
1981.054688	-49.820908
2024.121094	-50.165279
2067.187500	-49.267960
2110.253906	-47.948475
2153.320312	-48.547939
2196.386719	-47.795437
2239.453125	-47.344696
2282.519531	-47.632065
2325.585938	-47.714073
2368.652344	-47.357979
2411.718750	-50.142349
2454.785156	-50.611607
2497.851562	-50.043320
2540.917969	-48.762428
2583.984375	-47.407745
2627.050781	-46.072514
2670.117188	-46.191113
2713.183594	-46.162998
2756.250000	-46.387463
2799.316406	-46.894203
2842.382812	-46.506752
2885.449219	-46.575287
2928.515625	-48.522770
2971.582031	-50.460613
3014.648438	-50.177975
3057.714844	-50.089146
3100.781250	-50.312981
3143.847656	-49.630444
3186.914062	-49.042973
3229.980469	-49.254635
3273.046875	-49.866577
3316.113281	-49.997482
3359.179688	-50.223919
3402.246094	-51.512501
3445.312500	-51.168812
3488.378906	-51.531826
3531.445312	-50.877735
3574.511719	-51.747627
3617.578125	-51.156025
3660.644531	-51.138565
3703.710938	-53.845638
3746.777344	-54.091618
3789.843750	-53.450020
3832.910156	-53.385056
3875.976562	-52.964108
3919.042969	-53.501110
3962.109375	-52.678638
4005.175781	-53.771805
4048.242188	-55.315464
4091.308594	-55.080463
4134.375000	-54.193245
4177.441406	-54.176426
4220.507812	-53.594208
4263.574219	-53.633228
4306.640625	-53.829754
4349.707031	-54.645317
4392.773438	-54.456017
4435.839844	-54.265774
4478.906250	-55.292896
4521.972656	-56.752167
4565.039062	-56.526222
4608.105469	-56.814724
4651.171875	-56.377083
4694.238281	-57.555901
4737.304688	-58.803776
4780.371094	-58.676975
4823.437500	-57.747547
4866.503906	-56.384087
4909.570312	-56.089569
4952.636719	-55.656178
4995.703125	-55.654804
5038.769531	-57.154663
5081.835938	-57.768200
5124.902344	-58.505142
5167.968750	-57.438976
5211.035156	-58.753376
5254.101562	-58.474525
5297.167969	-58.200825
5340.234375	-58.285446
5383.300781	-57.619289
5426.367188	-59.065090
5469.433594	-58.313099
5512.500000	-57.796314
5555.566406	-60.013241
5598.632812	-59.316105
5641.699219	-60.806831
5684.765625	-60.329350
5727.832031	-60.184532
5770.898438	-58.897900
5813.964844	-57.565865
5857.031250	-57.989231
5900.097656	-58.041183
5943.164062	-56.831120
5986.230469	-57.581810
6029.296875	-57.661663
6072.363281	-58.590370
6115.429688	-59.353718
6158.496094	-61.888374
6201.562500	-61.510303
6244.628906	-61.181427
6287.695312	-60.467876
6330.761719	-59.208183
6373.828125	-61.253220
6416.894531	-61.849731
6459.960938	-63.627880
6503.027344	-64.365112
6546.093750	-64.097984
6589.160156	-63.977852
6632.226562	-61.868477
6675.292969	-63.161873
6718.359375	-63.834549
6761.425781	-64.979149
6804.492188	-64.637360
6847.558594	-61.517551
6890.625000	-58.839230
6933.691406	-60.734432
6976.757812	-60.288586
7019.824219	-60.154774
7062.890625	-61.731678
7105.957031	-65.095078
7149.023438	-67.543053
7192.089844	-66.998970
7235.156250	-65.806602
7278.222656	-63.810337
7321.289062	-64.217453
7364.355469	-63.685116
7407.421875	-64.301651
7450.488281	-63.391422
7493.554688	-63.207867
7536.621094	-66.404602
7579.687500	-66.111641
7622.753906	-66.695595
7665.820312	-67.074715
7708.886719	-65.676697
7751.953125	-64.791817
7795.019531	-64.113190
7838.085938	-63.023479
7881.152344	-64.685989
7924.218750	-62.964703
7967.285156	-63.547371
8010.351562	-64.741081
8053.417969	-63.830296
8096.484375	-64.616753
8139.550781	-63.788074
8182.617188	-64.416855
8225.683594	-67.954353
8268.750000	-67.438194
8311.816406	-69.754379
8354.882812	-69.865829
8397.949219	-71.186035
8441.015625	-70.663223
8484.082031	-69.704041
8527.148438	-68.747055
8570.214844	-68.196823
8613.281250	-67.898071
8656.347656	-65.935699
8699.414062	-67.254440
8742.480469	-69.845322
8785.546875	-72.168365
8828.613281	-73.280807
8871.679688	-74.258156
8914.746094	-73.948456
8957.812500	-73.518753
9000.878906	-72.854843
9043.945312	-71.281593
9087.011719	-71.616325
9130.078125	-71.995811
9173.144531	-71.611610
9216.210938	-73.089691
9259.277344	-75.127289
9302.343750	-75.116249
9345.410156	-74.162651
9388.476562	-73.203346
9431.542969	-72.760887
9474.609375	-72.839760
9517.675781	-71.168159
9560.742188	-71.081604
9603.808594	-72.937927
9646.875000	-72.607597
9689.941406	-71.992546
9733.007812	-71.964470
9776.074219	-71.731499
9819.140625	-72.766533
9862.207031	-72.635857
9905.273438	-72.317650
9948.339844	-72.326797
9991.406250	-72.091171
10034.472656	-72.387306
10077.539062	-72.071373
10120.605469	-71.414680
10163.671875	-72.961411
10206.738281	-73.387032
10249.804688	-73.743378
10292.871094	-75.013588
10335.937500	-74.060379
10379.003906	-73.520950
10422.070312	-74.979408
10465.136719	-75.521156
10508.203125	-75.016151
10551.269531	-74.942123
10594.335938	-73.941132
10637.402344	-71.899483
10680.468750	-71.462814
10723.535156	-73.626305
10766.601562	-73.622177
10809.667969	-72.764244
10852.734375	-71.973518
10895.800781	-72.448082
10938.867188	-72.995987
10981.933594	-74.086021
11025.000000	-75.875397
11068.066406	-76.138435
11111.132812	-75.591362
11154.199219	-75.372536
11197.265625	-76.154068
11240.332031	-75.496826
11283.398438	-75.844963
11326.464844	-76.722351
11369.531250	-77.009033
11412.597656	-76.611298
11455.664062	-76.210213
11498.730469	-75.643600
11541.796875	-75.247810
11584.863281	-75.205925
11627.929688	-75.500710
11670.996094	-75.152199
11714.062500	-75.801895
11757.128906	-76.829132
11800.195312	-77.080673
11843.261719	-76.855484
11886.328125	-76.347336
11929.394531	-75.752121
11972.460938	-76.055916
12015.527344	-74.975121
12058.593750	-75.247047
12101.660156	-76.133934
12144.726562	-76.326210
12187.792969	-76.287788
12230.859375	-75.707199
12273.925781	-75.682068
12316.992188	-75.890266
12360.058594	-75.767868
12403.125000	-74.762062
12446.191406	-75.994209
12489.257812	-76.175911
12532.324219	-75.939529
12575.390625	-76.228104
12618.457031	-75.296478
12661.523438	-74.671089
12704.589844	-75.635231
12747.656250	-76.357529
12790.722656	-75.088699
12833.789062	-74.911484
12876.855469	-75.090073
12919.921875	-75.333527
12962.988281	-75.671082
13006.054688	-75.097908
13049.121094	-74.348564
13092.187500	-73.939583
13135.253906	-75.229080
13178.320312	-76.164742
13221.386719	-75.772537
13264.453125	-75.897842
13307.519531	-75.982651
13350.585938	-76.094803
13393.652344	-74.795647
13436.718750	-74.957947
13479.785156	-75.004555
13522.851562	-75.147743
13565.917969	-74.195686
13608.984375	-74.432556
13652.050781	-75.099060
13695.117188	-74.347626
13738.183594	-73.742447
13781.250000	-74.021912
13824.316406	-74.561752
13867.382812	-75.291107
13910.449219	-76.187851
13953.515625	-75.079384
13996.582031	-74.315193
14039.648438	-74.940262
14082.714844	-74.498444
14125.781250	-73.243317
14168.847656	-72.949806
14211.914062	-74.026917
14254.980469	-73.641312
14298.046875	-74.150032
14341.113281	-73.741943
14384.179688	-73.771965
14427.246094	-74.184654
14470.312500	-74.201187
14513.378906	-73.359123
14556.445312	-73.843796
14599.511719	-74.551109
14642.578125	-74.033234
14685.644531	-73.775658
14728.710938	-72.357925
14771.777344	-71.942459
14814.843750	-71.355576
14857.910156	-72.637383
14900.976562	-73.249977
14944.042969	-73.157661
14987.109375	-73.131866
15030.175781	-73.191139
15073.242188	-73.179230
15116.308594	-73.394485
15159.375000	-73.390388
15202.441406	-71.768135
15245.507812	-71.074326
15288.574219	-70.950989
15331.640625	-72.178978
15374.707031	-71.960876
15417.773438	-72.015114
15460.839844	-72.459198
15503.906250	-71.903091
15546.972656	-70.990837
15590.039062	-70.995361
15633.105469	-70.712166
15676.171875	-70.623833
15719.238281	-70.525375
15762.304688	-70.724297
15805.371094	-69.681000
15848.437500	-69.987312
15891.503906	-70.939651
15934.570312	-71.194031
15977.636719	-70.598869
16020.703125	-70.332573
16063.769531	-70.708443
16106.835938	-70.958420
16149.902344	-71.325089
16192.968750	-70.553520
16236.035156	-71.001701
16279.101562	-70.418106
16322.167969	-70.294991
16365.234375	-70.851212
16408.300781	-69.356041
16451.367188	-68.183052
16494.433594	-69.037735
16537.500000	-69.398880
16580.566406	-68.132401
16623.632812	-68.696884
16666.699219	-69.959099
16709.765625	-69.589401
16752.832031	-69.826897
16795.898438	-70.891953
16838.964844	-70.813644
16882.031250	-72.251877
16925.097656	-73.700691
16968.164062	-73.412254
17011.230469	-71.975861
17054.296875	-71.884483
17097.363281	-71.673103
17140.429688	-71.085831
17183.496094	-70.999527
17226.562500	-72.522102
17269.628906	-72.775688
17312.695312	-72.891640
17355.761719	-73.653687
17398.828125	-74.696243
17441.894531	-74.488792
17484.960938	-73.735748
17528.027344	-74.405846
17571.093750	-72.956833
17614.160156	-73.696747
17657.226562	-73.929993
17700.292969	-73.256279
17743.359375	-73.788605
17786.425781	-73.768562
17829.492188	-74.133492
17872.558594	-74.421707
17915.625000	-75.118706
17958.691406	-75.141312
18001.757812	-75.555542
18044.824219	-75.589996
18087.890625	-75.258339
18130.957031	-75.033905
18174.023438	-74.158783
18217.089844	-75.370056
18260.156250	-75.805504
18303.222656	-75.603966
18346.289062	-75.431259
18389.355469	-76.013695
18432.421875	-76.946434
18475.488281	-75.718460
18518.554688	-75.754044
18561.621094	-75.252220
18604.687500	-76.113266
18647.753906	-75.507133
18690.820312	-75.043892
18733.886719	-74.972481
18776.953125	-75.944771
18820.019531	-75.987389
18863.085938	-75.783607
18906.152344	-75.718277
18949.218750	-76.567818
18992.285156	-76.194626
19035.351562	-75.980576
19078.417969	-75.460823
19121.484375	-76.367004
19164.550781	-76.304359
19207.617188	-75.593826
19250.683594	-75.640579
19293.750000	-76.371208
19336.816406	-75.281471
19379.882812	-75.581337
19422.949219	-76.296593
19466.015625	-76.416260
19509.082031	-76.969978
19552.148438	-76.154480
19595.214844	-76.092300
19638.281250	-76.492577
19681.347656	-76.699387
19724.414062	-76.153900
19767.480469	-75.950508
19810.546875	-76.360046
19853.613281	-75.931747
19896.679688	-75.394905
19939.746094	-75.772316
19982.812500	-76.231956
20025.878906	-76.283188
20068.945312	-76.444557
20112.011719	-76.941788
20155.078125	-77.441826
20198.144531	-78.167900
20241.210938	-77.714630
20284.277344	-77.349426
20327.343750	-76.408623
20370.410156	-76.272667
