Frequency (Hz),Level (dB)
43.066406,-40.27774
86.132812,-34.769306
129.199219,-27.595427
172.265625,-12.875541
215.332031,-12.135894
258.398438,-24.654135
301.464844,-40.91967
344.53125,-28.157318
387.597656,-20.704748
430.664062,-25.031519
473.730469,-42.518707
516.796875,-50.294643
559.863281,-34.524723
602.929688,-32.369888
645.996094,-42.698475
689.0625,-58.122086
732.128906,-46.784916
775.195312,-37.469028
818.261719,-40.538361
861.328125,-57.632778
904.394531,-58.659023
947.460938,-53.504665
990.527344,-51.420509
1033.59375,-57.583675
1076.660156,-56.11026
1119.726562,-47.022221
1162.792969,-35.444626
1205.859375,-36.838451
1248.925781,-52.217983
1291.992188,-60.369595
1335.058594,-41.635155
1378.125,-36.57312
1421.191406,-43.447964
1464.257812,-64.222198
1507.324219,-62.48996
1550.390625,-51.898609
1593.457031,-51.821892
1636.523438,-59.218292
1679.589844,-62.531738
1722.65625,-65.619987
1765.722656,-62.974045
1808.789062,-63.806473
1851.855469,-64.263191
1894.921875,-67.021729
1937.988281,-63.54052
1981.054688,-62.457722
2024.121094,-66.128662
2067.1875,-67.321266
2110.253906,-63.975964
2153.320312,-58.137802
2196.386719,-60.767288
2239.453125,-67.249748
2282.519531,-66.650635
2325.585938,-58.501808
2368.652344,-55.482067
2411.71875,-62.89397
2454.785156,-67.523949
2497.851562,-65.98381
2540.917969,-65.4757
2583.984375,-67.098602
2627.050781,-64.421173
2670.117188,-65.290749
2713.183594,-66.639236
2756.25,-65.702972
2799.316406,-67.778198
2842.382812,-67.985703
2885.449219,-68.580978
2928.515625,-63.18124
2971.582031,-62.486061
3014.648438,-68.523041
3057.714844,-69.604614
3100.78125,-66.767899
3143.847656,-62.157021
3186.914062,-64.960861
3229.980469,-68.777977
3273.046875,-70.342003
3316.113281,-66.743591
3359.179688,-65.653587
3402.246094,-69.529327
3445.3125,-70.933777
3488.378906,-70.546791
3531.445312,-67.779961
3574.511719,-68.16658
3617.578125,-71.205276
3660.644531,-71.571922
3703.710938,-70.596802
3746.777344,-68.478149
3789.84375,-71.159325
3832.910156,-72.652962
3875.976562,-72.02742
3919.042969,-67.253197
3962.109375,-66.10659
4005.175781,-70.32238
4048.242188,-71.697922
4091.308594,-70.456871
4134.375,-66.691147
4177.441406,-68.929474
4220.507812,-71.409454
4263.574219,-73.263618
4306.640625,-66.453629
4349.707031,-62.761383
4392.773438,-67.787643
4435.839844,-72.483597
4478.90625,-72.788147
4521.972656,-71.523857
4565.039062,-72.278069
4608.105469,-73.700249
4651.171875,-73.540115
4694.238281,-72.152077
4737.304688,-68.51857
4780.371094,-70.981148
4823.4375,-73.420883
4866.503906,-72.621437
4909.570312,-67.104019
4952.636719,-64.86869
4995.703125,-70.428551
5038.769531,-73.325066
5081.835938,-71.99527
5124.902344,-65.637222
5167.96875,-66.547035
5211.035156,-72.426613
5254.101562,-73.024673
5297.167969,-72.820518
5340.234375,-72.151726
5383.300781,-72.647903
5426.367188,-72.94249
5469.433594,-73.716461
5512.5,-72.21534
5555.566406,-71.657234
5598.632812,-74.379959
5641.699219,-74.566978
5684.765625,-73.483208
5727.832031,-72.032013
5770.898438,-72.679245
5813.964844,-74.373474
5857.03125,-74.733696
5900.097656,-71.072639
5943.164062,-66.215469
5986.230469,-70.143684
6029.296875,-74.752892
6072.363281,-74.434883
6115.429688,-73.733894
6158.496094,-72.482079
6201.5625,-75.129646
6244.628906,-74.870163
6287.695312,-74.759872
6330.761719,-74.31617
6373.828125,-74.391006
6416.894531,-75.257935
6459.960938,-74.815018
6503.027344,-73.786636
6546.09375,-73.494331
6589.160156,-75.142906
6632.226562,-75.63485
6675.292969,-74.722206
6718.359375,-72.189568
6761.425781,-70.486443
6804.492188,-73.261902
6847.558594,-74.04319
6890.625,-74.096062
6933.691406,-70.976616
6976.757812,-70.648018
7019.824219,-74.357277
7062.890625,-76.066399
7105.957031,-75.379547
7149.023438,-69.996017
7192.089844,-70.661568
7235.15625,-75.044388
7278.222656,-75.983994
7321.289062,-74.663574
7364.355469,-73.390831
7407.421875,-74.971527
7450.488281,-75.327835
7493.554688,-73.697449
7536.621094,-73.127975
7579.6875,-72.648369
7622.753906,-74.886559
7665.820312,-74.558968
7708.886719,-75.730011
7751.953125,-73.81662
7795.019531,-72.830177
7838.085938,-74.690933
7881.152344,-76.035172
7924.21875,-76.311302
7967.285156,-75.359215
8010.351562,-75.910919
8053.417969,-76.420479
8096.484375,-76.530098
8139.550781,-75.705963
8182.617188,-74.367325
8225.683594,-75.297455
8268.75,-76.269875
8311.816406,-76.382622
8354.882812,-75.669952
8397.949219,-76.173813
8441.015625,-77.336555
8484.082031,-75.783447
8527.148438,-76.088852
8570.214844,-73.804642
8613.28125,-72.52243
8656.347656,-74.130684
8699.414062,-75.169205
8742.480469,-75.433548
8785.546875,-74.436401
8828.613281,-74.838234
8871.679688,-76.571091
8914.746094,-76.348534
8957.8125,-75.730095
9000.878906,-76.192993
9043.945312,-76.016884
9087.011719,-75.773575
9130.078125,-75.516518
9173.144531,-76.25499
9216.210938,-75.775368
9259.277344,-75.235252
9302.34375,-77.358551
9345.410156,-76.188675
9388.476562,-75.056168
9431.542969,-74.574112
9474.609375,-75.48172
9517.675781,-76.257362
9560.742188,-77.890106
9603.808594,-76.415283
9646.875,-74.331055
9689.941406,-75.438766
9733.007812,-75.654762
9776.074219,-75.416809
9819.140625,-73.612434
9862.207031,-74.108116
9905.273438,-76.605492
9948.339844,-76.04538
9991.40625,-76.533211
10034.47266,-76.882187
10077.53906,-76.486511
10120.60547,-77.408722
10163.67188,-77.163765
10206.73828,-76.619026
10249.80469,-76.752007
10292.87109,-76.04216
10335.9375,-76.109215
10379.00391,-76.065453
10422.07031,-76.84745
10465.13672,-75.940849
10508.20313,-75.878593
10551.26953,-76.350464
10594.33594,-76.66758
10637.40234,-76.420982
10680.46875,-73.635155
10723.53516,-73.396477
10766.60156,-74.887642
10809.66797,-77.378029
10852.73438,-76.379974
10895.80078,-75.51284
10938.86719,-74.802971
10981.93359,-76.276955
11025,-77.170502
11068.06641,-76.154274
11111.13281,-76.255257
11154.19922,-76.430618
11197.26563,-76.53421
11240.33203,-76.944283
11283.39844,-74.894028
11326.46484,-72.414787
11369.53125,-74.68528
11412.59766,-77.034164
11455.66406,-77.104622
11498.73047,-76.578377
11541.79688,-75.42675
11584.86328,-76.9981
11627.92969,-76.087387
11670.99609,-76.093063
11714.0625,-76.112534
11757.12891,-74.615204
11800.19531,-74.923866
11843.26172,-76.199623
11886.32813,-76.296936
11929.39453,-74.822739
11972.46094,-75.157516
12015.52734,-75.571472
12058.59375,-76.450958
12101.66016,-75.57663
12144.72656,-75.565636
12187.79297,-74.834763
12230.85938,-75.029472
12273.92578,-75.04879
12316.99219,-74.321663
12360.05859,-75.076073
12403.125,-75.098763
12446.19141,-75.777794
12489.25781,-76.577209
12532.32422,-75.908798
12575.39063,-73.323067
12618.45703,-74.415413
12661.52344,-75.124573
12704.58984,-75.557426
12747.65625,-76.794632
12790.72266,-77.0187
12833.78906,-76.111694
12876.85547,-75.341263
12919.92188,-75.759247
12962.98828,-75.851456
13006.05469,-75.196724
13049.12109,-75.465218
13092.1875,-76.142509
13135.25391,-76.058372
13178.32031,-74.409157
13221.38672,-75.104446
13264.45313,-73.066002
13307.51953,-72.725021
13350.58594,-73.593903
13393.65234,-73.424644
13436.71875,-74.58931
13479.78516,-73.9711
13522.85156,-74.223579
13565.91797,-74.60038
13608.98438,-73.98381
13652.05078,-73.71151
13695.11719,-72.643883
13738.18359,-70.61869
13781.25,-71.812729
13824.31641,-73.747765
13867.38281,-74.620102
13910.44922,-72.695282
13953.51563,-71.034836
