Frequency (Hz)	Level (dB)
43.066406	-41.066116
86.132812	-33.716972
129.199219	-24.247768
172.265625	-10.192850
215.332031	-9.624100
258.398438	-22.114449
301.464844	-35.107243
344.531250	-26.732973
387.597656	-19.494345
430.664062	-23.831413
473.730469	-40.155361
516.796875	-42.032330
559.863281	-40.987625
602.929688	-39.603222
645.996094	-43.275978
689.062500	-45.966816
732.128906	-45.478394
775.195312	-39.284801
818.261719	-41.973125
861.328125	-50.070053
904.394531	-47.531628
947.460938	-34.664719
990.527344	-31.163368
1033.593750	-39.186172
1076.660156	-46.162086
1119.726562	-42.926922
1162.792969	-35.089504
1205.859375	-36.393055
1248.925781	-45.454342
1291.992188	-45.911076
1335.058594	-45.457844
1378.125000	-43.157612
1421.191406	-44.595509
1464.257812	-44.562092
1507.324219	-43.693829
1550.390625	-43.188335
1593.457031	-43.178459
1636.523438	-43.654861
1679.589844	-44.335346
1722.656250	-44.284355
1765.722656	-43.206631
1808.789062	-43.695950
1851.855469	-46.222546
1894.921875	-46.876541
1937.988281	-46.265789
1981.054688	-49.153217
2024.121094	-51.411831
2067.187500	-49.075176
2110.253906	-47.819290
2153.320312	-47.551598
2196.386719	-47.600922
2239.453125	-47.483543
2282.519531	-47.615192
2325.585938	-46.533607
2368.652344	-45.887722
2411.718750	-50.092457
2454.785156	-51.251629
2497.851562	-49.474422
2540.917969	-48.674419
2583.984375	-47.864807
2627.050781	-47.229748
2670.117188	-47.550373
2713.183594	-46.428387
2756.250000	-46.499077
2799.316406	-46.485092
2842.382812	-46.536007
2885.449219	-47.875969
2928.515625	-49.838226
2971.582031	-51.940895
3014.648438	-51.732365
3057.714844	-51.097237
3100.781250	-50.496052
3143.847656	-49.523491
3186.914062	-48.375153
3229.980469	-49.059425
3273.046875	-49.401340
3316.113281	-50.087105
3359.179688	-51.449776
3402.246094	-52.362270
3445.312500	-51.397301
3488.378906	-51.171894
3531.445312	-50.666962
3574.511719	-51.562199
3617.578125	-51.392418
3660.644531	-51.616192
3703.710938	-53.006947
3746.777344	-53.060493
3789.843750	-53.765667
3832.910156	-54.114590
3875.976562	-52.768379
3919.042969	-53.205524
3962.109375	-53.569675
4005.175781	-53.796738
4048.242188	-54.622574
4091.308594	-54.794773
4134.375000	-55.120914
4177.441406	-54.830074
4220.507812	-54.216160
4263.574219	-53.484306
4306.640625	-53.654598
4349.707031	-52.930630
4392.773438	-53.290966
4435.839844	-53.965240
4478.906250	-54.572464
4521.972656	-56.032509
4565.039062	-57.152885
4608.105469	-57.964447
4651.171875	-55.476048
4694.238281	-56.536255
4737.304688	-59.723797
4780.371094	-59.178699
4823.437500	-57.889465
4866.503906	-57.119453
4909.570312	-57.222000
4952.636719	-56.279827
4995.703125	-56.607128
5038.769531	-57.897793
5081.835938	-56.507469
5124.902344	-56.788715
5167.968750	-57.198429
5211.035156	-58.213081
5254.101562	-58.050098
5297.167969	-57.428825
5340.234375	-57.832043
5383.300781	-57.999847
5426.367188	-59.773571
5469.433594	-58.394371
5512.500000	-57.692116
5555.566406	-60.984882
5598.632812	-60.451649
5641.699219	-61.892357
5684.765625	-60.731422
5727.832031	-60.625481
5770.898438	-58.934479
5813.964844	-57.856384
5857.031250	-58.035526
5900.097656	-57.448925
5943.164062	-55.870831
5986.230469	-56.632011
6029.296875	-58.302124
6072.363281	-59.897755
6115.429688	-60.867516
6158.496094	-62.558102
6201.562500	-61.306084
6244.628906	-60.519863
6287.695312	-60.266674
6330.761719	-59.445831
6373.828125	-61.803349
6416.894531	-62.356392
6459.960938	-62.966068
6503.027344	-61.572441
6546.093750	-62.070354
6589.160156	-62.495148
6632.226562	-60.977528
6675.292969	-62.285580
6718.359375	-63.428997
6761.425781	-64.518623
6804.492188	-66.305252
