Frequency (Hz)	Level (dB)
43.066406	-42.687275
86.132812	-44.641842
129.199219	-43.529636
172.265625	-38.809574
215.332031	-38.166466
258.398438	-36.402847
301.464844	-25.527964
344.531250	-23.835264
387.597656	-33.954769
430.664062	-41.002060
473.730469	-40.457211
516.796875	-41.864971
559.863281	-41.925339
602.929688	-40.519737
645.996094	-34.236004
689.062500	-36.598995
732.128906	-47.153831
775.195312	-49.536541
818.261719	-49.506584
861.328125	-50.928261
904.394531	-48.065239
947.460938	-38.661419
990.527344	-33.719257
1033.593750	-39.672626
1076.660156	-46.942558
1119.726562	-46.005444
1162.792969	-47.973118
1205.859375	-48.424194
1248.925781	-46.924133
1291.992188	-40.949287
1335.058594	-40.042229
1378.125000	-44.764828
1421.191406	-45.703537
1464.257812	-45.422276
1507.324219	-45.386723
1550.390625	-44.385052
1593.457031	-42.850155
1636.523438	-42.412426
1679.589844	-43.489361
1722.656250	-43.995518
1765.722656	-44.556747
1808.789062	-44.884659
1851.855469	-46.528332
1894.921875	-48.106655
1937.988281	-42.783821
1981.054688	-38.933537
2024.121094	-44.949802
2067.187500	-48.557678
2110.253906	-46.818684
2153.320312	-47.009933
2196.386719	-47.226101
2239.453125	-47.526875
2282.519531	-48.089481
2325.585938	-48.469685
2368.652344	-48.486313
2411.718750	-49.993423
2454.785156	-50.257198
2497.851562	-49.009792
2540.917969	-48.469849
2583.984375	-47.091797
2627.050781	-47.150116
2670.117188	-47.951263
2713.183594	-46.806862
2756.250000	-47.468155
2799.316406	-46.898129
2842.382812	-46.426697
2885.449219	-47.727409
2928.515625	-49.196484
2971.582031	-51.424999
3014.648438	-52.590260
3057.714844	-51.160118
3100.781250	-49.979996
3143.847656	-49.552654
3186.914062	-48.563343
3229.980469	-48.144127
3273.046875	-48.080490
3316.113281	-48.502117
3359.179688	-50.696369
3402.246094	-50.702011
3445.312500	-50.562458
3488.378906	-51.241806
3531.445312	-51.027828
3574.511719	-51.730446
3617.578125	-51.065647
3660.644531	-50.798431
3703.710938	-53.300602
3746.777344	-52.871834
3789.843750	-53.925133
3832.910156	-54.161873
3875.976562	-54.073566
3919.042969	-54.369793
3962.109375	-53.249393
4005.175781	-53.400871
4048.242188	-54.613281
4091.308594	-54.887459
4134.375000	-54.129456
4177.441406	-53.711494
4220.507812	-53.554665
4263.574219	-51.157417
4306.640625	-50.265095
4349.707031	-52.244762
4392.773438	-53.686954
4435.839844	-54.650116
4478.906250	-56.474724
4521.972656	-57.700451
4565.039062	-57.265621
4608.105469	-53.052105
4651.171875	-53.258739
4694.238281	-56.411568
4737.304688	-58.270576
4780.371094	-58.133877
4823.437500	-58.566177
4866.503906	-59.358139
4909.570312	-58.541523
4952.636719	-56.035179
4995.703125	-56.678352
5038.769531	-57.892170
5081.835938	-57.685432
5124.902344	-57.627155
5167.968750	-56.936760
5211.035156	-57.824738
5254.101562	-57.715717
5297.167969	-57.381222
5340.234375	-58.197948
5383.300781	-58.043316
5426.367188	-59.827648
5469.433594	-58.574612
5512.500000	-57.316040
5555.566406	-58.756462
5598.632812	-53.879116
5641.699219	-55.621498
5684.765625	-60.855030
5727.832031	-62.625778
5770.898438	-59.455330
5813.964844	-58.359150
5857.031250	-59.880962
5900.097656	-59.214081
5943.164062	-56.765923
5986.230469	-58.207958
6029.296875	-60.120266
6072.363281	-61.615040
6115.429688	-60.389606
6158.496094	-59.733540
6201.562500	-58.915359
6244.628906	-57.489174
6287.695312	-55.683521
6330.761719	-59.418968
6373.828125	-62.406498
6416.894531	-62.860798
6459.960938	-65.425049
6503.027344	-63.893318
6546.093750	-62.143555
6589.160156	-56.702118
6632.226562	-55.832710
6675.292969	-62.344025
6718.359375	-64.252884
6761.425781	-65.242493
6804.492188	-64.648186
6847.558594	-63.597775
6890.625000	-61.460014
6933.691406	-58.120682
6976.757812	-58.776779
7019.824219	-62.365170
7062.890625	-65.033829
7105.957031	-66.064278
7149.023438	-64.320992
7192.089844	-64.223602
7235.156250	-61.985428
7278.222656	-59.310562
7321.289062	-62.825562
7364.355469	-63.149963
7407.421875	-63.016838
7450.488281	-61.621437
7493.554688	-62.013447
7536.621094	-66.140411
7579.687500	-54.273781
7622.753906	-50.938965
7665.820312	-59.283009
7708.886719	-65.792137
7751.953125	-64.931671
7795.019531	-64.511726
7838.085938	-62.688904
7881.152344	-64.071411
7924.218750	-55.137024
7967.285156	-54.615582
8010.351562	-63.276478
8053.417969	-64.789307
8096.484375	-66.500572
8139.550781	-64.733948
8182.617188	-65.503387
8225.683594	-64.937492
8268.750000	-58.894306
8311.816406	-61.414093
8354.882812	-66.711632
8397.949219	-68.644440
8441.015625	-68.984642
8484.082031	-68.705940
8527.148438	-70.017532
8570.214844	-66.608856
8613.281250	-60.778976
8656.347656	-64.797699
8699.414062	-71.416145
8742.480469	-71.152992
8785.546875	-71.426201
8828.613281	-70.498055
8871.679688	-70.281731
8914.746094	-57.275898
8957.812500	-52.900970
9000.878906	-60.103821
9043.945312	-71.743896
9087.011719	-72.344955
9130.078125	-71.549713
9173.144531	-70.191200
9216.210938	-67.623390
9259.277344	-52.039997
9302.343750	-49.810043
9345.410156	-59.701328
9388.476562	-73.687790
9431.542969	-73.683212
9474.609375	-73.766380
9517.675781	-71.865585
9560.742188	-70.375053
9603.808594	-68.055496
9646.875000	-68.127022
9689.941406	-71.459236
9733.007812	-71.727974
9776.074219	-72.605789
9819.140625	-73.230087
9862.207031	-73.879486
9905.273438	-70.035568
9948.339844	-61.800789
9991.406250	-63.190636
10034.472656	-70.951599
10077.539062	-70.941643
10120.605469	-70.072044
10163.671875	-71.320351
10206.738281	-71.561996
10249.804688	-64.839058
10292.871094	-57.493202
10335.937500	-60.937119
10379.003906	-73.464455
10422.070312	-74.823174
10465.136719	-74.124435
10508.203125	-75.014702
10551.269531	-74.452965
10594.335938	-59.111595
10637.402344	-52.823677
10680.468750	-58.185089
10723.535156	-73.221771
10766.601562	-73.148834
10809.667969	-74.291534
10852.734375	-72.980576
10895.800781	-72.699715
10938.867188	-69.610519
10981.933594	-65.796059
11025.000000	-70.475624
11068.066406	-75.203697
11111.132812	-75.733124
11154.199219	-75.688835
11197.265625	-76.640251
11240.332031	-74.766342
11283.398438	-60.052200
11326.464844	-56.185364
11369.531250	-63.848965
11412.597656	-76.424408
11455.664062	-76.040573
11498.730469	-75.880470
11541.796875	-74.293663
11584.863281	-68.298683
11627.929688	-51.082199
11670.996094	-49.293617
11714.062500	-60.140404
11757.128906	-74.353180
11800.195312	-74.693123
11843.261719	-75.923569
11886.328125	-75.815712
11929.394531	-74.394196
11972.460938	-63.839169
12015.527344	-62.820972
12058.593750	-71.751068
12101.660156	-75.201324
12144.726562	-75.049835
12187.792969	-73.991852
12230.859375	-71.251282
12273.925781	-74.077477
12316.992188	-70.765038
12360.058594	-70.589859
