Frequency (Hz)	Level (dB)
43.066406	-30.721521
86.132812	-25.972095
129.199219	-17.459007
172.265625	-13.385183
215.332031	-20.865248
258.398438	-33.892208
301.464844	-27.281439
344.531250	-25.137209
387.597656	-28.305756
430.664062	-27.150499
473.730469	-36.497967
516.796875	-40.273106
559.863281	-42.107449
602.929688	-42.633129
645.996094	-41.855274
689.062500	-41.814106
732.128906	-40.808258
775.195312	-42.158115
818.261719	-46.069965
861.328125	-46.723488
904.394531	-45.007336
947.460938	-45.187138
990.527344	-45.242207
1033.593750	-45.591980
1076.660156	-46.405674
1119.726562	-45.642811
1162.792969	-46.490662
1205.859375	-46.231987
1248.925781	-45.565884
1291.992188	-46.143600
1335.058594	-47.467400
1378.125000	-46.072121
1421.191406	-45.177387
1464.257812	-44.972584
1507.324219	-44.474773
1550.390625	-43.712692
1593.457031	-43.167831
1636.523438	-44.310013
1679.589844	-43.856667
1722.656250	-43.931988
1765.722656	-44.163506
1808.789062	-44.157703
1851.855469	-45.616184
1894.921875	-47.765491
1937.988281	-48.183289
1981.054688	-50.374001
2024.121094	-50.017494
2067.187500	-49.926765
2110.253906	-48.953308
2153.320312	-49.726883
2196.386719	-48.246353
2239.453125	-47.744244
2282.519531	-47.845428
2325.585938	-47.227528
2368.652344	-46.101006
2411.718750	-49.099041
2454.785156	-50.054237
2497.851562	-48.913635
2540.917969	-48.568489
2583.984375	-47.249249
2627.050781	-46.380493
2670.117188	-46.029091
2713.183594	-45.473751
2756.250000	-46.270622
2799.316406	-47.089684
2842.382812	-47.331398
2885.449219	-48.156124
2928.515625	-48.609695
2971.582031	-50.016132
3014.648438	-50.531132
3057.714844	-51.766575
3100.781250	-51.318184
3143.847656	-49.577122
3186.914062	-49.167831
3229.980469	-50.702885
3273.046875	-50.685242
3316.113281	-50.752102
3359.179688	-50.945564
3402.246094	-49.856617
3445.312500	-48.528721
3488.378906	-49.261581
3531.445312	-50.194660
3574.511719	-50.447418
3617.578125	-51.628246
3660.644531	-52.181419
3703.710938	-54.124966
3746.777344	-54.460876
3789.843750	-54.229805
3832.910156	-52.883381
3875.976562	-52.991627
3919.042969	-53.499668
3962.109375	-52.566181
4005.175781	-53.334942
4048.242188	-53.791790
4091.308594	-53.925304
4134.375000	-54.490997
4177.441406	-55.584705
4220.507812	-55.103207
4263.574219	-54.954632
4306.640625	-53.089432
4349.707031	-52.979874
4392.773438	-53.934078
4435.839844	-55.315815
4478.906250	-55.430275
4521.972656	-55.897247
4565.039062	-56.612232
4608.105469	-56.948227
4651.171875	-56.083424
4694.238281	-57.104973
4737.304688	-60.003174
4780.371094	-59.483154
4823.437500	-58.884064
4866.503906	-57.984619
4909.570312	-57.201141
4952.636719	-56.445244
4995.703125	-56.059395
5038.769531	-56.205948
5081.835938	-55.564079
5124.902344	-56.162239
5167.968750	-56.908257
5211.035156	-58.173622
5254.101562	-58.425987
5297.167969	-59.264805
5340.234375	-59.039738
5383.300781	-57.730358
5426.367188	-60.359890
5469.433594	-60.166824
5512.500000	-58.016998
5555.566406	-58.488003
5598.632812	-57.896389
5641.699219	-60.418003
5684.765625	-59.311672
5727.832031	-60.617695
5770.898438	-59.735001
5813.964844	-58.360683
5857.031250	-58.662960
5900.097656	-59.295124
5943.164062	-58.043007
5986.230469	-57.579689
6029.296875	-57.167667
6072.363281	-56.576427
6115.429688	-56.962666
6158.496094	-60.109188
6201.562500	-62.065037
6244.628906	-62.759232
6287.695312	-61.896389
6330.761719	-60.278419
6373.828125	-63.529049
6416.894531	-62.949223
6459.960938	-63.443611
6503.027344	-63.580528
6546.093750	-63.232895
6589.160156	-62.192680
6632.226562	-60.112419
6675.292969	-61.857563
6718.359375	-61.197701
6761.425781	-62.152153
6804.492188	-64.497391
6847.558594	-64.058456
6890.625000	-61.661865
6933.691406	-63.272408
6976.757812	-60.884949
7019.824219	-60.799652
7062.890625	-61.613579
7105.957031	-64.018196
7149.023438	-64.715187
7192.089844	-64.450920
7235.156250	-64.790878
7278.222656	-63.099926
7321.289062	-66.239380
7364.355469	-67.678192
7407.421875	-68.084892
7450.488281	-65.716270
7493.554688	-65.058205
7536.621094	-66.204811
7579.687500	-65.394470
7622.753906	-63.737740
7665.820312	-64.136993
7708.886719	-63.326008
7751.953125	-62.020905
7795.019531	-63.153625
7838.085938	-62.319794
7881.152344	-64.701668
7924.218750	-63.629955
7967.285156	-64.095146
8010.351562	-65.550056
8053.417969	-65.086174
8096.484375	-65.472366
8139.550781	-64.037041
8182.617188	-65.167068
8225.683594	-67.528862
8268.750000	-65.786217
8311.816406	-67.154083
8354.882812	-66.629524
8397.949219	-67.792412
8441.015625	-67.568176
8484.082031	-69.338081
8527.148438	-69.497429
8570.214844	-69.300598
8613.281250	-68.542992
8656.347656	-66.830704
8699.414062	-67.179947
8742.480469	-68.394508
8785.546875	-69.918938
8828.613281	-70.393082
8871.679688	-71.489960
8914.746094	-72.976517
8957.812500	-72.661774
9000.878906	-73.669601
9043.945312	-71.758232
9087.011719	-71.664177
9130.078125	-71.060143
9173.144531	-70.529335
9216.210938	-71.014397
9259.277344	-72.596283
9302.343750	-72.890388
9345.410156	-71.696541
9388.476562	-71.077652
9431.542969	-71.410370
9474.609375	-71.252731
9517.675781	-69.876099
9560.742188	-70.768158
9603.808594	-72.672630
9646.875000	-71.138420
9689.941406	-70.264297
9733.007812	-71.540810
9776.074219	-70.545609
