Frequency (Hz),Level (dB)
43.066406,-39.479736
86.132812,-27.888189
129.199219,-16.426516
172.265625,-17.609245
215.332031,-32.451134
258.398438,-19.820942
301.464844,-16.33704
344.53125,-24.871559
387.597656,-33.402489
430.664062,-25.598688
473.730469,-28.920452
516.796875,-40.889275
559.863281,-40.547966
602.929688,-40.997082
645.996094,-44.600998
689.0625,-40.505386
732.128906,-35.912792
775.195312,-41.40591
818.261719,-50.39093
861.328125,-45.824863
904.394531,-45.005966
947.460938,-47.284801
990.527344,-45.353973
1033.59375,-45.01873
1076.660156,-47.207272
1119.726562,-44.028019
1162.792969,-38.724365
1205.859375,-41.180126
1248.925781,-46.066936
1291.992188,-41.546387
1335.058594,-40.114792
1378.125,-44.718601
1421.191406,-45.011753
1464.257812,-45.223797
1507.324219,-44.733562
1550.390625,-43.226971
1593.457031,-43.176353
1636.523438,-44.463425
1679.589844,-44.390102
1722.65625,-43.991711
1765.722656,-43.918407
1808.789062,-44.560196
1851.855469,-46.442814
1894.921875,-46.949951
1937.988281,-47.408363
1981.054688,-49.25444
2024.121094,-48.634548
2067.1875,-47.964832
2110.253906,-47.203705
2153.320312,-47.930679
2196.386719,-46.144398
2239.453125,-46.185081
2282.519531,-47.069458
2325.585938,-47.062527
2368.652344,-46.91124
2411.71875,-50.419125
2454.785156,-50.598316
2497.851562,-50.140713
2540.917969,-49.523018
2583.984375,-47.851425
2627.050781,-47.69857
2670.117188,-47.159256
2713.183594,-45.202915
2756.25,-45.10989
2799.316406,-46.014797
2842.382812,-46.545185
2885.449219,-47.33633
2928.515625,-47.924873
2971.582031,-50.176025
3014.648438,-51.056438
3057.714844,-50.508194
3100.78125,-49.854706
3143.847656,-48.295135
3186.914062,-49.133858
3229.980469,-49.576141
3273.046875,-49.388248
3316.113281,-50.168957
3359.179688,-50.906219
3402.246094,-51.191307
3445.3125,-50.546032
3488.378906,-51.843651
3531.445312,-51.462715
3574.511719,-51.808117
3617.578125,-50.816269
3660.644531,-51.436481
3703.710938,-53.025146
3746.777344,-53.92329
3789.84375,-54.390491
